,SMILES,RDKit_Mol_Class,C_count,N_count,O_count,F_count,P_count,ALERTS,Pbf,CSP3,NPR1,NPR2,MinEStateIndex,MaxAbsEStateIndex,MinAbsEStateIndex,qed,MolWt,HeavyAtomMolWt,ExactMolWt,NumValenceElectrons,MaxPartialCharge,MinPartialCharge,MaxAbsPartialCharge,MinAbsPartialCharge,FpDensityMorgan1,FpDensityMorgan2,FpDensityMorgan3,BCUT2D_MWHI,BCUT2D_MWLOW,BCUT2D_CHGHI,BCUT2D_CHGLO,BCUT2D_LOGPHI,BCUT2D_LOGPLOW,BCUT2D_MRHI,BCUT2D_MRLOW,BalabanJ,BertzCT,Chi0,Chi0n,Chi0v,Chi1,Chi1n,Chi1v,Chi2n,Chi2v,Chi3n,Chi3v,Chi4n,Chi4v,HallKierAlpha,Ipc,Kappa1,Kappa2,Kappa3,LabuteASA,PEOE_VSA1,PEOE_VSA10,PEOE_VSA11,PEOE_VSA12,PEOE_VSA13,PEOE_VSA14,PEOE_VSA2,PEOE_VSA3,PEOE_VSA4,PEOE_VSA5,PEOE_VSA6,PEOE_VSA7,PEOE_VSA8,PEOE_VSA9,SMR_VSA1,SMR_VSA10,SMR_VSA3,SMR_VSA4,SMR_VSA5,SMR_VSA6,SMR_VSA7,SMR_VSA9,SlogP_VSA1,SlogP_VSA10,SlogP_VSA11,SlogP_VSA12,SlogP_VSA2,SlogP_VSA3,SlogP_VSA4,SlogP_VSA5,SlogP_VSA6,SlogP_VSA8,TPSA,EState_VSA1,EState_VSA10,EState_VSA11,EState_VSA2,EState_VSA3,EState_VSA4,EState_VSA5,EState_VSA6,EState_VSA7,EState_VSA8,EState_VSA9,VSA_EState1,VSA_EState2,VSA_EState3,VSA_EState4,VSA_EState5,VSA_EState6,VSA_EState7,VSA_EState8,VSA_EState9,FractionCSP3,HeavyAtomCount,NHOHCount,NOCount,NumAliphaticCarbocycles,NumAliphaticHeterocycles,NumAliphaticRings,NumAromaticCarbocycles,NumAromaticHeterocycles,NumAromaticRings,NumHAcceptors,NumHDonors,NumHeteroatoms,NumRotatableBonds,NumSaturatedCarbocycles,NumSaturatedHeterocycles,NumSaturatedRings,RingCount,MolLogP,MolMR,fr_Al_OH,fr_Al_OH_noTert,fr_Ar_N,fr_NH0,fr_NH1,fr_NH2,fr_N_O,fr_Ndealkylation1,fr_Ndealkylation2,fr_alkyl_halide,fr_aniline,fr_aryl_methyl,fr_benzene,fr_bicyclic,fr_ether,fr_guanido,fr_halogen,fr_imidazole,fr_methoxy,fr_morpholine,fr_nitro,fr_nitro_arom,fr_nitro_arom_nonortho,fr_para_hydroxylation,fr_piperdine,fr_piperzine,fr_pyridine,fr_quatN,fr_unbrch_alkane,Concentration,Temperature,Solvent(MeOD),Solvent(D2O),Time(h),PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18,PC19,PC20,PC21,PC22,PC23,PC24,PC25,PC26,PC27,PC28,Degradation(%),Clusters_5,Clusters_10
1,CCCCN1C=C[N+](C)=C1,<rdkit.Chem.rdchem.Mol object at 0x000001DE9044F300>,8,2,0,0,0,1,0.564224407,0.625,0.142596112,0.919069888,1.150138889,2.211805556,1.150138889,0.554691275,139.222,124.102,139.1229749,56,0.243028824,-0.239533996,0.243028824,0.239533996,1.5,2.3,2.8,15.08785619,10.33121447,1.959499127,-1.900551834,1.911832752,-2.23262156,4.645719645,-0.670569316,2.422977778,190.8925906,7.397341225,6.747798342,6.747798342,4.825698503,3.836677035,3.836677035,2.670461187,2.670461187,1.593598922,1.593598922,0.97467268,0.97467268,-0.79,256.7231081,7.318577633,3.396271974,1.865035648,62.10486507,0,12.39368714,0,6.327320075,0,0,0,9.134199296,0,0,13.34455882,6.420821623,0,13.59242839,4.567099648,0,4.567099648,7.047671983,26.31013685,0,18.72100722,0,4.567099648,0,0,0,4.567099648,13.59242839,0,19.76538045,18.72100722,0,8.81,0,0,0,0,0,6.544756406,12.84164325,0,7.047671983,34.77894371,0,4.276944444,0,0,0,0,0,8.817018141,3.361944444,2.044092971,0.625,10,0,2,0,0,0,0,1,1,1,0,2,3,0,0,0,1,1.1127,40.516,0,0,2,2,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.359143801,30,0,1,168,-1.127958002,1.303324111,0.024077698,0.527596024,0.721552463,0.233212829,-0.248632331,-0.13671181,0.190160133,-0.379375834,0.085131792,-0.284593698,-0.337587834,-0.432994737,0.309962752,-0.24680542,-0.180187828,-0.128766907,-0.015702431,0.183681754,0.063394463,-0.007246233,-0.055525834,0.180847977,-0.073604363,0.100860196,0.061259214,-0.203826393,0,0,0
2,CCCCN1C=C[N+](C)=C1,<rdkit.Chem.rdchem.Mol object at 0x000001DE8F402D00>,8,2,0,0,0,1,0.698231376,0.625,0.281869894,0.843145031,1.150138889,2.211805556,1.150138889,0.554691275,139.222,124.102,139.1229749,56,0.243028824,-0.239533996,0.243028824,0.239533996,1.5,2.3,2.8,15.08785619,10.33121447,1.959499127,-1.900551834,1.911832752,-2.23262156,4.645719645,-0.670569316,2.422977778,190.8925906,7.397341225,6.747798342,6.747798342,4.825698503,3.836677035,3.836677035,2.670461187,2.670461187,1.593598922,1.593598922,0.97467268,0.97467268,-0.79,256.7231081,7.318577633,3.396271974,1.865035648,62.10486507,0,12.39368714,0,6.327320075,0,0,0,9.134199296,0,0,13.34455882,6.420821623,0,13.59242839,4.567099648,0,4.567099648,7.047671983,26.31013685,0,18.72100722,0,4.567099648,0,0,0,4.567099648,13.59242839,0,19.76538045,18.72100722,0,8.81,0,0,0,0,0,6.544756406,12.84164325,0,7.047671983,34.77894371,0,4.276944444,0,0,0,0,0,8.817018141,3.361944444,2.044092971,0.625,10,0,2,0,0,0,0,1,1,1,0,2,3,0,0,0,1,1.1127,40.516,0,0,2,2,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3.591438012,30,0,1,168,-1.128230203,1.307808586,0.019758532,0.534022413,0.713064055,0.255681145,-0.247841777,-0.13384797,0.150114581,-0.368939273,0.062165449,-0.287531587,-0.332319512,-0.446054867,0.297837855,-0.243480537,-0.19232375,-0.138584313,-0.048632968,0.16276819,0.020034888,-0.036186479,-0.022927339,0.15194031,-0.061091414,0.065413431,0.061123763,-0.18243563,20,1,2
3,CCCCN1C=C[N+](C)=C1,<rdkit.Chem.rdchem.Mol object at 0x000001DE89C9F300>,8,2,0,0,0,1,0.572083375,0.625,0.122840337,0.931362965,1.150138889,2.211805556,1.150138889,0.554691275,139.222,124.102,139.1229749,56,0.243028824,-0.239533996,0.243028824,0.239533996,1.5,2.3,2.8,15.08785619,10.33121447,1.959499127,-1.900551834,1.911832752,-2.23262156,4.645719645,-0.670569316,2.422977778,190.8925906,7.397341225,6.747798342,6.747798342,4.825698503,3.836677035,3.836677035,2.670461187,2.670461187,1.593598922,1.593598922,0.97467268,0.97467268,-0.79,256.7231081,7.318577633,3.396271974,1.865035648,62.10486507,0,12.39368714,0,6.327320075,0,0,0,9.134199296,0,0,13.34455882,6.420821623,0,13.59242839,4.567099648,0,4.567099648,7.047671983,26.31013685,0,18.72100722,0,4.567099648,0,0,0,4.567099648,13.59242839,0,19.76538045,18.72100722,0,8.81,0,0,0,0,0,6.544756406,12.84164325,0,7.047671983,34.77894371,0,4.276944444,0,0,0,0,0,8.817018141,3.361944444,2.044092971,0.625,10,0,2,0,0,0,0,1,1,1,0,2,3,0,0,0,1,1.1127,40.516,0,0,2,2,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,8.978595029,30,0,1,168,-1.132954748,1.312654504,0.00965076,0.542702788,0.725464329,0.283424153,-0.23572999,-0.136894764,0.150909669,-0.365958125,0.05021926,-0.294286428,-0.312555714,-0.448371909,0.293371819,-0.233556027,-0.177101357,-0.130941614,-0.061328396,0.157428716,-0.018691221,0.010733313,0.027090619,0.117837801,-0.071877364,-0.010233695,0.026419649,-0.136539244,88.1,4,8
4,CCCCN1C=C[N+](C)=C1C,<rdkit.Chem.rdchem.Mol object at 0x000001DE8F3E5080>,9,2,0,0,0,1,0.964858291,0.666666667,0.411357014,0.946232787,1.155925926,2.295138889,1.155925926,0.580700677,153.249,136.113,153.138625,62,0.252505903,-0.2371895,0.252505903,0.2371895,1.545454545,2.272727273,2.727272727,15.12354519,10.32320438,2.057409928,-1.953035348,1.96454421,-2.29191671,4.781790929,-0.676901048,2.630825004,225.4666468,8.267584714,7.670448073,7.670448073,5.253218858,4.267492851,4.267492851,3.003208827,3.003208827,2.148888739,2.148888739,1.163612434,1.163612434,-0.79,382.8385388,8.307943193,3.557462323,1.822066108,68.46980718,0,12.39368714,0,0,5.824404498,0,0,9.134199296,0,0,13.34455882,6.420821623,6.9237372,13.59242839,4.567099648,0,4.567099648,7.047671983,33.23387405,0,18.21809164,0,4.567099648,0,0,0,4.567099648,13.59242839,6.9237372,25.58978494,12.39368714,0,8.81,0,0,0,0,0,6.544756406,18.66604774,0,0,42.42303282,0,4.443611111,0,0,0,1.331898148,0,6.784564437,5.525462963,2.081130008,0.666666667,11,0,2,0,0,0,0,1,1,1,0,2,3,0,0,0,1,1.42112,45.253,0,0,2,2,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.326264274,30,0,1,168,-0.925760802,1.292341966,-0.036960343,0.414077937,0.748696415,0.444974232,-0.130784236,-0.081469125,-0.084138141,0.015739235,-0.113319739,-0.073318273,0.082538564,0.256391968,0.095513085,0.159812708,0.086285793,-0.063459109,0.164254721,0.064592542,0.112890235,-0.004755447,-0.154658561,0.113510123,-0.110779784,0.171843878,0.154806069,-0.228823228,0,0,0
5,CCCCN1C=C[N+](C)=C1C,<rdkit.Chem.rdchem.Mol object at 0x000001DE8F3E5490>,9,2,0,0,0,1,0.900407568,0.666666667,0.315317336,0.938003506,1.155925926,2.295138889,1.155925926,0.580700677,153.249,136.113,153.138625,62,0.252505903,-0.2371895,0.252505903,0.2371895,1.545454545,2.272727273,2.727272727,15.12354519,10.32320438,2.057409928,-1.953035348,1.96454421,-2.29191671,4.781790929,-0.676901048,2.630825004,225.4666468,8.267584714,7.670448073,7.670448073,5.253218858,4.267492851,4.267492851,3.003208827,3.003208827,2.148888739,2.148888739,1.163612434,1.163612434,-0.79,382.8385388,8.307943193,3.557462323,1.822066108,68.46980718,0,12.39368714,0,0,5.824404498,0,0,9.134199296,0,0,13.34455882,6.420821623,6.9237372,13.59242839,4.567099648,0,4.567099648,7.047671983,33.23387405,0,18.21809164,0,4.567099648,0,0,0,4.567099648,13.59242839,6.9237372,25.58978494,12.39368714,0,8.81,0,0,0,0,0,6.544756406,18.66604774,0,0,42.42303282,0,4.443611111,0,0,0,1.331898148,0,6.784564437,5.525462963,2.081130008,0.666666667,11,0,2,0,0,0,0,1,1,1,0,2,3,0,0,0,1,1.42112,45.253,0,0,2,2,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3.262642741,30,0,1,168,-0.927619168,1.295541246,-0.042318802,0.418305146,0.747990291,0.462517331,-0.127352207,-0.080404844,-0.099463156,0.021358919,-0.12557361,-0.07823421,0.089625909,0.250486324,0.090030149,0.165380116,0.087223259,-0.06977507,0.150509857,0.055307088,0.084883466,-0.007225475,-0.124574119,0.091833058,-0.108821364,0.135913406,0.142337756,-0.205733789,2,0,0
6,CCCCN1C=C[N+](C)=C1C,<rdkit.Chem.rdchem.Mol object at 0x000001DE8F1858A0>,9,2,0,0,0,1,0.900402658,0.666666667,0.315315494,0.938002447,1.155925926,2.295138889,1.155925926,0.580700677,153.249,136.113,153.138625,62,0.252505903,-0.2371895,0.252505903,0.2371895,1.545454545,2.272727273,2.727272727,15.12354519,10.32320438,2.057409928,-1.953035348,1.96454421,-2.29191671,4.781790929,-0.676901048,2.630825004,225.4666468,8.267584714,7.670448073,7.670448073,5.253218858,4.267492851,4.267492851,3.003208827,3.003208827,2.148888739,2.148888739,1.163612434,1.163612434,-0.79,382.8385388,8.307943193,3.557462323,1.822066108,68.46980718,0,12.39368714,0,0,5.824404498,0,0,9.134199296,0,0,13.34455882,6.420821623,6.9237372,13.59242839,4.567099648,0,4.567099648,7.047671983,33.23387405,0,18.21809164,0,4.567099648,0,0,0,4.567099648,13.59242839,6.9237372,25.58978494,12.39368714,0,8.81,0,0,0,0,0,6.544756406,18.66604774,0,0,42.42303282,0,4.443611111,0,0,0,1.331898148,0,6.784564437,5.525462963,2.081130008,0.666666667,11,0,2,0,0,0,0,1,1,1,0,2,3,0,0,0,1,1.42112,45.253,0,0,2,2,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,8.156606852,30,0,1,168,-0.931886389,1.299968783,-0.051501152,0.426155109,0.758890522,0.487833959,-0.116507035,-0.083032165,-0.099476497,0.02426103,-0.136687987,-0.084448371,0.107394386,0.248164142,0.085840114,0.174418855,0.100720427,-0.063385954,0.13870123,0.050169239,0.049392126,0.034014284,-0.078976349,0.060704635,-0.118251792,0.06746015,0.111089214,-0.16412481,13.8,0,1
7,CN(C)[C+](N(C)C)N(C)C,<rdkit.Chem.rdchem.Mol object at 0x000001DE904573F0>,7,3,0,0,0,1,1.090450443,0.857142857,0.637211101,0.773994311,1.194444444,2.083333333,1.194444444,0.520838571,144.242,126.098,144.149524,60,0.349589713,-0.111678365,0.349589713,0.111678365,0.6,0.8,0.8,15.46202249,10.56237982,2.30860206,-2.190147083,2.074492777,-2.418841822,4.783551825,0.120412298,3.983500213,69.832459,8.309401077,7.841640786,7.841640786,4.464101615,3.354101966,3.354101966,2.983281573,2.983281573,1.2,1.2,1.2,1.2,-0.25,85.75693819,9.75,3.806586691,2.557605251,64.20840472,0,0,0,0,0,6.289710395,0,0,0,14.69972919,0,0,42.2860319,0,0,0,14.69972919,0,0,42.2860319,6.289710395,0,0,0,0,0,56.98576109,0,6.289710395,0,0,0,9.72,0,0,0,0,0,0,6.289710395,0,42.2860319,14.69972919,0,0,6.25,0,0,0,0,1.194444444,0,12.22222222,0.857142857,10,0,3,0,0,0,0,0,0,3,0,3,3,0,0,0,0,0.11819,44.304,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.346644481,30,0,1,168,-0.19512556,-0.29552902,0.92881151,1.122828436,0.828413246,0.357743107,0.198829028,0.613157669,0.279833764,-0.159307166,-0.711633662,1.076565936,0.370422666,-0.491238895,-0.326782398,0.16947089,-0.202810177,0.085065595,-0.392532083,-0.285160126,0.198936118,-0.305922052,0.396884805,0.808463372,0.067961305,-0.177077224,0.254048062,-0.397785002,0.7,0,0
8,CN(C)[C+](N(C)C)N(C)C,<rdkit.Chem.rdchem.Mol object at 0x000001DE8F3E9620>,7,3,0,0,0,1,1.09045203,0.857142857,0.637211251,0.773995528,1.194444444,2.083333333,1.194444444,0.520838571,144.242,126.098,144.149524,60,0.349589713,-0.111678365,0.349589713,0.111678365,0.6,0.8,0.8,15.46202249,10.56237982,2.30860206,-2.190147083,2.074492777,-2.418841822,4.783551825,0.120412298,3.983500213,69.832459,8.309401077,7.841640786,7.841640786,4.464101615,3.354101966,3.354101966,2.983281573,2.983281573,1.2,1.2,1.2,1.2,-0.25,85.75693819,9.75,3.806586691,2.557605251,64.20840472,0,0,0,0,0,6.289710395,0,0,0,14.69972919,0,0,42.2860319,0,0,0,14.69972919,0,0,42.2860319,6.289710395,0,0,0,0,0,56.98576109,0,6.289710395,0,0,0,9.72,0,0,0,0,0,0,6.289710395,0,42.2860319,14.69972919,0,0,6.25,0,0,0,0,1.194444444,0,12.22222222,0.857142857,10,0,3,0,0,0,0,0,0,3,0,3,3,0,0,0,0,0.11819,44.304,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.466444814,30,0,1,168,-0.197351104,-0.292465718,0.923117542,1.127783524,0.832516209,0.374895556,0.204597139,0.612393094,0.273355171,-0.155904861,-0.721177462,1.072347104,0.380415472,-0.494631602,-0.330856062,0.175085088,-0.197392824,0.085735507,-0.40351482,-0.291255908,0.173332805,-0.290127756,0.426679119,0.787506568,0.065197998,-0.21885816,0.237113259,-0.372084201,10.2,0,1
9,CN(C)[C+](N(C)C)N(C)C,<rdkit.Chem.rdchem.Mol object at 0x000001DE8F3E91C0>,7,3,0,0,0,1,1.237655112,0.857142857,0.785792466,0.785793393,1.194444444,2.083333333,1.194444444,0.520838571,144.242,126.098,144.149524,60,0.349589713,-0.111678365,0.349589713,0.111678365,0.6,0.8,0.8,15.46202249,10.56237982,2.30860206,-2.190147083,2.074492777,-2.418841822,4.783551825,0.120412298,3.983500213,69.832459,8.309401077,7.841640786,7.841640786,4.464101615,3.354101966,3.354101966,2.983281573,2.983281573,1.2,1.2,1.2,1.2,-0.25,85.75693819,9.75,3.806586691,2.557605251,64.20840472,0,0,0,0,0,6.289710395,0,0,0,14.69972919,0,0,42.2860319,0,0,0,14.69972919,0,0,42.2860319,6.289710395,0,0,0,0,0,56.98576109,0,6.289710395,0,0,0,9.72,0,0,0,0,0,0,6.289710395,0,42.2860319,14.69972919,0,0,6.25,0,0,0,0,1.194444444,0,12.22222222,0.857142857,10,0,3,0,0,0,0,0,0,3,0,3,3,0,0,0,0,0.11819,44.304,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.666112035,30,0,1,168,-0.201060358,-0.287360219,0.913627589,1.136041998,0.839354505,0.40348296,0.214210663,0.611118799,0.262557591,-0.150234367,-0.737083763,1.06531571,0.397070158,-0.500286091,-0.337645479,0.184442095,-0.188363858,0.086852032,-0.421819317,-0.301415502,0.130660656,-0.263803845,0.476336318,0.752578567,0.060592448,-0.288493063,0.208888538,-0.329249521,66.4,3,6
10,CCCC[N+]1(C)CCCC1,<rdkit.Chem.rdchem.Mol object at 0x000001DE8F15D440>,9,1,0,0,0,1,0.857831939,1,0.203287324,0.962550236,1.355,2.405416667,1.355,0.528866095,142.266,122.106,142.1590261,60,0.078627625,-0.326037383,0.326037383,0.078627625,1.2,1.8,2.3,15.33615721,10.27647584,2.246735375,-2.282945,2.162358186,-2.408798699,4.508065721,-0.897402108,2.21874475,92.90138861,7.449747468,7.396961064,7.396961064,4.767766953,4.603003675,4.603003675,3.850984256,3.850984256,2.697398731,2.697398731,1.86229292,1.86229292,-0.04,244.7397616,8.060401606,3.380057918,1.978612327,64.62276195,4.483030858,0,0,0,0,0,0,0,0,0,13.34455882,6.420821623,12.84164325,26.6819412,4.483030858,0,0,0,32.60702369,26.6819412,0,0,0,0,0,0,31.16497206,0,0,32.60702369,0,0,0,0,0,0,0,0,0,49.80058657,0,0,13.97140918,0,1.355,0,0,0,0,0,5.685286281,6.554297052,2.405416667,1,10,0,1,0,1,1,0,0,0,0,0,1,3,0,1,1,1,2.0269,44.9274,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.351444437,30,0,1,168,-1.085662885,-0.586378719,-0.312239824,0.394477022,0.19627747,0.666564353,0.197426932,0.361829344,-0.106769735,-0.1425458,0.013815175,-0.119546894,-0.057946264,0.095087255,0.423650662,0.223574783,-0.114906197,0.299731086,-0.023174705,-0.041208819,0.084472673,-0.021852244,-0.036808833,0.197295905,-0.075463055,0.129287069,0.132322856,-0.270385405,0,0,0
