,0
SlogP_VSA5,12.327642246849436
Time(h),8.471954657269169
Concentration,4.231487778765937
SMR_VSA5,3.926879687710609
Solvent(MeOD),3.2321939402536333
NPR2_mean,2.8477122913087594
Solvent(D2O),2.8202463268828217
NPR1_mean,1.5968265559484498
Pbf_mean,1.2733328048827963
BCUT2D_MRLOW,0.5956116427471725
FpDensityMorgan2,0.532211161372279
BCUT2D_MWLOW,0.49488281694694064
VSA_EState1,0.4537778932179302
BCUT2D_MWHI,0.42922989665760625
FpDensityMorgan1,0.34055616544600814
MaxAbsPartialCharge,0.2814090737062376
FpDensityMorgan3,0.27433408978206697
MinPartialCharge,0.2569953255696706
EState_VSA8,0.2517225786948264
qed,0.22543065711023014
Temperature,0.22138866265464338
BertzCT,0.2197565017523871
MinAbsPartialCharge,0.21254123035725092
BCUT2D_CHGHI,0.21205428960362996
SlogP_VSA10,0.21158145226558317
EState_VSA5,0.20380324493908325
Kappa3,0.19734332845335717
VSA_EState5,0.19645455171664034
PEOE_VSA8,0.1770845078732453
VSA_EState4,0.17685833567716908
Chi3n,0.17574281408137443
SlogP_VSA3,0.17509610701453796
SMR_VSA10,0.16663088759513084
FractionCSP3,0.1595327297682236
MaxAbsEStateIndex,0.15658367293274056
PEOE_VSA9,0.15386591545793177
BCUT2D_LOGPLOW,0.14037889086638863
MaxPartialCharge,0.13445244038256454
Kappa2,0.1311058419813139
BalabanJ,0.12965008867720734
VSA_EState7,0.12537713567849101
PEOE_VSA10,0.12152985834448805
MinAbsEStateIndex,0.11838121049581375
Chi4n,0.11023856350959835
VSA_EState8,0.10736482645303509
MinEStateIndex,0.10091433620797734
fr_Ndealkylation2,0.09574556685665081
MolLogP,0.08778410199477037
Chi3v,0.08488670539736212
VSA_EState9,0.08317738785221694
fr_bicyclic,0.08261676583636397
BCUT2D_LOGPHI,0.08212684954101103
PEOE_VSA7,0.07327225150896738
CSP3,0.07208187343836646
BCUT2D_MRHI,0.061993771867573544
fr_para_hydroxylation,0.06139401684117289
Chi2n,0.05818282282375505
BCUT2D_CHGLO,0.05624372838528708
NumRotatableBonds,0.05576364745292475
NumAliphaticRings,0.04779764790111551
SMR_VSA6,0.04755948582226724
VSA_EState2,0.04597237766926572
Chi2v,0.044028720898210257
EState_VSA6,0.04305211217203634
NumSaturatedRings,0.042566667259428
ALERTS,0.0386825805963931
SMR_VSA7,0.037284024953345686
NumHAcceptors,0.037148812200306525
SMR_VSA9,0.03653475566955265
PEOE_VSA6,0.036113097161763884
Chi1,0.035331526933499106
Chi0v,0.034162912268072464
Chi1v,0.03322448010038779
SlogP_VSA4,0.03269004586123969
Chi1n,0.032586488680296774
EState_VSA2,0.03186892163249245
HallKierAlpha,0.03002308031360045
PEOE_VSA1,0.029854670696409197
SlogP_VSA1,0.029391159595840845
SMR_VSA4,0.029301160200658222
N_count,0.02908867457438695
HeavyAtomMolWt,0.02785346020402035
Chi0,0.02766283003615493
EState_VSA7,0.027511182025427565
MolMR,0.0270710064053459
Chi4v,0.026655273153708577
VSA_EState6,0.026607512400025006
SlogP_VSA2,0.02517938102407489
Kappa1,0.0249570069752319
PEOE_VSA14,0.024698912827613998
Chi0n,0.0238590795272951
HeavyAtomCount,0.02318684155277804
NumValenceElectrons,0.023068937386789064
SMR_VSA3,0.020284428479028074
MolWt,0.01974119472402577
EState_VSA4,0.01925740987441388
fr_quatN,0.018914123995534556
ExactMolWt,0.017849734845858462
SlogP_VSA6,0.017055926381006576
fr_NH0,0.01614537199200924
TPSA,0.015586221861013327
PEOE_VSA13,0.015325075224223555
RingCount,0.015090703072925343
fr_Ar_N,0.014337142724748658
NumHeteroatoms,0.014219751777343095
fr_benzene,0.01321619649890866
NOCount,0.01277963908912803
C_count,0.012027908588862156
fr_aryl_methyl,0.011982719881062516
PEOE_VSA5,0.011633953638106855
NumSaturatedHeterocycles,0.011318316113849211
EState_VSA9,0.01107892624741924
SMR_VSA1,0.010630439399119503
NumAromaticCarbocycles,0.010538999731417474
LabuteASA,0.010528432667289919
fr_aniline,0.010373966784461525
fr_Ndealkylation1,0.010127512535702718
fr_unbrch_alkane,0.009340526845537074
VSA_EState3,0.009122273266136915
NumAliphaticHeterocycles,0.008789779285497524
fr_piperdine,0.008132025855452835
fr_piperzine,0.008039938004045719
NumAromaticRings,0.007306106823893726
Ipc,0.006639221150941744
PEOE_VSA12,0.006587135098443977
fr_guanido,0.00602365849040261
PEOE_VSA11,0.005914144133123979
fr_ether,0.005906794553668199
fr_imidazole,0.0057242772423273325
SlogP_VSA8,0.0057112155255656764
PEOE_VSA2,0.00510381490458969
PEOE_VSA3,0.005043223762704146
NumAliphaticCarbocycles,0.0037246567876276656
NumAromaticHeterocycles,0.0036460621701653083
fr_pyridine,0.002502744963043958
EState_VSA3,0.0024281943532764344
SlogP_VSA11,0.0019074030344800328
P_count,0.0016445246351532335
fr_methoxy,0.0015878642004973353
NumHDonors,0.0015525191354544977
O_count,0.0013943668613021329
fr_Al_OH_noTert,0.001270979814774798
fr_NH1,0.0012009359575553822
EState_VSA1,0.0007259707772513367
NumSaturatedCarbocycles,0.000587799998318692
SlogP_VSA12,0.0005613337893413371
fr_morpholine,0.0003620331597680246
fr_Al_OH,0.00034144266440849904
NHOHCount,5.664274864785181e-06
F_count,0.0
PEOE_VSA4,0.0
EState_VSA10,0.0
EState_VSA11,0.0
fr_nitro,0.0
fr_NH2,0.0
fr_alkyl_halide,0.0
fr_N_O,0.0
fr_halogen,0.0
fr_nitro_arom_nonortho,0.0
fr_nitro_arom,0.0
